epoch,batch,train_loss,val_loss
0,0,19.92209243774414,18.25135040283203
1,0,19.297897338867188,18.212247848510742
2,0,18.699941635131836,18.17258071899414
3,0,18.125885009765625,18.131032943725586
4,0,17.572437286376953,18.087158203125
5,0,17.036354064941406,18.040775299072266
6,0,16.51454734802246,17.99156379699707
7,0,16.004114151000977,17.939098358154297
8,0,15.50245189666748,17.88299560546875
9,0,15.00732707977295,17.822895050048828
10,0,14.51697063446045,17.758563995361328
11,0,14.030139923095703,17.68991470336914
12,0,13.546187400817871,17.617034912109375
13,0,13.065081596374512,17.5401611328125
14,0,12.58737564086914,17.459739685058594
15,0,12.114123344421387,17.376399993896484
16,0,11.6466703414917,17.291011810302734
17,0,11.186405181884766,17.204662322998047
18,0,10.734512329101562,17.118629455566406
19,0,10.291820526123047,17.034374237060547
19,0,10.291820526123047,22.165706634521484
