epoch,batch,train_loss,val_loss
0,0,109.66590881347656,123.65904998779297
1,0,108.72398376464844,123.36054992675781
2,0,107.78048706054688,123.05821990966797
3,0,106.82472229003906,122.74812316894531
4,0,105.84555053710938,122.42717742919922
5,0,104.83186340332031,122.09220123291016
6,0,103.77266693115234,121.7397232055664
7,0,102.6571273803711,121.36589813232422
8,0,101.47460174560547,120.96673583984375
9,0,100.21446228027344,120.53804779052734
10,0,98.86595916748047,120.07544708251953
11,0,97.41783905029297,119.57425689697266
12,0,95.85806274414062,119.02942657470703
13,0,94.17367553710938,118.43521118164062
14,0,92.35069274902344,117.78496551513672
15,0,90.37420654296875,117.0708999633789
16,0,88.22860717773438,116.28370666503906
17,0,85.89778900146484,115.41217803955078
18,0,83.36557006835938,114.44251251220703
19,0,80.61627197265625,113.35747528076172
19,0,80.61627197265625,160.9399871826172
